10-Aug-2021,12:06:06.1,  24.14 °C, 1003.68 mbar,  54.43 %,   79.98 m
10-Aug-2021,12:06:06.6,  24.14 °C, 1003.68 mbar,  54.42 %,   80.02 m
10-Aug-2021,12:06:07.1,  24.13 °C, 1003.62 mbar,  54.44 %,   80.49 m
10-Aug-2021,12:06:07.6,  24.13 °C, 1003.68 mbar,  54.42 %,   80.00 m
10-Aug-2021,12:06:08.2,  24.13 °C, 1003.67 mbar,  54.43 %,   80.08 m
10-Aug-2021,12:06:08.7,  24.14 °C, 1003.67 mbar,  54.44 %,   80.06 m
10-Aug-2021,12:06:09.2,  24.14 °C, 1003.65 mbar,  54.43 %,   80.25 m
10-Aug-2021,12:06:09.8,  24.15 °C, 1003.72 mbar,  54.44 %,   79.65 m
10-Aug-2021,12:06:10.3,  24.14 °C, 1003.68 mbar,  54.44 %,   79.98 m
10-Aug-2021,12:06:10.8,  24.13 °C, 1003.67 mbar,  54.42 %,   80.05 m
10-Aug-2021,12:06:11.3,  24.14 °C, 1003.68 mbar,  54.42 %,   79.98 m
10-Aug-2021,12:06:11.9,  24.14 °C, 1003.64 mbar,  54.40 %,   80.36 m
10-Aug-2021,12:06:12.4,  24.15 °C, 1003.71 mbar,  54.41 %,   79.73 m
10-Aug-2021,12:06:12.9,  24.15 °C, 1003.71 mbar,  54.40 %,   79.77 m
10-Aug-2021,12:06:13.5,  24.13 °C, 1003.67 mbar,  54.39 %,   80.08 m
10-Aug-2021,12:06:14.0,  24.13 °C, 1003.69 mbar,  54.38 %,   79.93 m
10-Aug-2021,12:06:14.5,  24.14 °C, 1003.70 mbar,  54.36 %,   79.79 m
10-Aug-2021,12:06:15.0,  24.13 °C, 1003.68 mbar,  54.36 %,   79.97 m
10-Aug-2021,12:06:15.6,  24.14 °C, 1003.67 mbar,  54.34 %,   80.09 m
10-Aug-2021,12:06:16.1,  24.14 °C, 1003.71 mbar,  55.26 %,   79.75 m
10-Aug-2021,12:06:16.6,  24.62 °C, 1003.73 mbar,  68.43 %,   79.57 m
10-Aug-2021,12:06:17.2,  24.92 °C, 1003.77 mbar,  76.09 %,   79.25 m
10-Aug-2021,12:06:17.7,  25.36 °C, 1003.77 mbar,  82.21 %,   79.24 m
10-Aug-2021,12:06:18.2,  25.99 °C, 1003.80 mbar,  86.74 %,   78.96 m
10-Aug-2021,12:06:18.7,  26.41 °C, 1003.74 mbar,  88.58 %,   79.50 m
10-Aug-2021,12:06:19.3,  26.00 °C, 1003.80 mbar,  87.86 %,   78.97 m
10-Aug-2021,12:06:19.8,  25.64 °C, 1003.72 mbar,  87.39 %,   79.61 m
10-Aug-2021,12:06:20.3,  25.50 °C, 1003.74 mbar,  87.44 %,   79.48 m
10-Aug-2021,12:06:20.9,  25.46 °C, 1003.81 mbar,  87.69 %,   78.93 m
10-Aug-2021,12:06:21.4,  25.46 °C, 1003.84 mbar,  88.00 %,   78.60 m
10-Aug-2021,12:06:21.9,  25.44 °C, 1003.82 mbar,  88.28 %,   78.80 m
10-Aug-2021,12:06:22.4,  25.42 °C, 1003.82 mbar,  88.53 %,   78.77 m
10-Aug-2021,12:06:23.0,  25.42 °C, 1003.82 mbar,  88.77 %,   78.77 m
10-Aug-2021,12:06:23.5,  25.39 °C, 1003.80 mbar,  88.99 %,   78.96 m
10-Aug-2021,12:06:24.0,  25.39 °C, 1003.79 mbar,  89.24 %,   79.10 m
10-Aug-2021,12:06:24.6,  25.39 °C, 1003.81 mbar,  89.44 %,   78.91 m
10-Aug-2021,12:06:25.1,  25.36 °C, 1003.82 mbar,  89.57 %,   78.83 m
10-Aug-2021,12:06:25.6,  25.33 °C, 1003.78 mbar,  89.71 %,   79.17 m
10-Aug-2021,12:06:26.1,  25.32 °C, 1003.80 mbar,  89.89 %,   78.97 m
10-Aug-2021,12:06:26.7,  25.31 °C, 1003.79 mbar,  90.06 %,   79.02 m
10-Aug-2021,12:06:27.2,  25.30 °C, 1003.79 mbar,  90.21 %,   79.08 m
10-Aug-2021,12:06:27.7,  25.29 °C, 1003.75 mbar,  90.32 %,   79.36 m
10-Aug-2021,12:06:28.3,  25.25 °C, 1003.81 mbar,  90.43 %,   78.90 m
10-Aug-2021,12:06:28.8,  25.24 °C, 1003.79 mbar,  90.53 %,   79.04 m
10-Aug-2021,12:06:29.3,  25.21 °C, 1003.77 mbar,  90.63 %,   79.19 m
10-Aug-2021,12:06:29.9,  25.19 °C, 1003.86 mbar,  90.73 %,   78.45 m
10-Aug-2021,12:06:30.4,  25.18 °C, 1003.83 mbar,  90.83 %,   78.68 m
10-Aug-2021,12:06:30.9,  25.15 °C, 1003.79 mbar,  90.93 %,   79.06 m
10-Aug-2021,12:06:31.4,  25.13 °C, 1003.81 mbar,  91.01 %,   78.87 m
10-Aug-2021,12:06:32.0,  25.11 °C, 1003.86 mbar,  91.09 %,   78.44 m
10-Aug-2021,12:06:32.5,  25.07 °C, 1003.74 mbar,  91.13 %,   79.47 m
10-Aug-2021,12:06:33.0,  25.05 °C, 1003.75 mbar,  91.20 %,   79.40 m
10-Aug-2021,12:06:33.6,  25.04 °C, 1003.78 mbar,  91.28 %,   79.17 m
10-Aug-2021,12:06:34.1,  25.02 °C, 1003.79 mbar,  91.37 %,   79.06 m
10-Aug-2021,12:06:34.6,  25.00 °C, 1003.77 mbar,  91.45 %,   79.21 m
10-Aug-2021,12:06:35.1,  24.98 °C, 1003.74 mbar,  91.51 %,   79.45 m
10-Aug-2021,12:06:35.7,  24.95 °C, 1003.78 mbar,  91.53 %,   79.12 m
10-Aug-2021,12:06:36.2,  24.93 °C, 1003.80 mbar,  91.56 %,   78.94 m
10-Aug-2021,12:06:36.7,  24.92 °C, 1003.87 mbar,  91.55 %,   78.40 m
10-Aug-2021,12:06:37.3,  24.88 °C, 1003.79 mbar,  91.55 %,   79.08 m
10-Aug-2021,12:06:37.8,  24.85 °C, 1003.80 mbar,  91.51 %,   78.97 m
10-Aug-2021,12:06:38.3,  24.83 °C, 1003.79 mbar,  91.45 %,   79.05 m
10-Aug-2021,12:06:38.8,  24.80 °C, 1003.81 mbar,  91.40 %,   78.90 m
10-Aug-2021,12:06:39.4,  24.79 °C, 1003.85 mbar,  91.28 %,   78.54 m
10-Aug-2021,12:06:39.9,  24.74 °C, 1003.84 mbar,  91.06 %,   78.66 m
10-Aug-2021,12:06:40.4,  24.70 °C, 1003.84 mbar,  90.85 %,   78.61 m
10-Aug-2021,12:06:41.0,  24.69 °C, 1003.83 mbar,  90.64 %,   78.70 m
10-Aug-2021,12:06:41.5,  24.66 °C, 1003.82 mbar,  90.44 %,   78.78 m
10-Aug-2021,12:06:42.0,  24.65 °C, 1003.81 mbar,  90.18 %,   78.87 m
10-Aug-2021,12:06:42.5,  24.63 °C, 1003.86 mbar,  89.73 %,   78.51 m
10-Aug-2021,12:06:43.1,  24.60 °C, 1003.86 mbar,  89.06 %,   78.47 m
10-Aug-2021,12:06:43.6,  24.58 °C, 1003.76 mbar,  88.23 %,   79.33 m
10-Aug-2021,12:06:44.1,  24.56 °C, 1003.83 mbar,  87.36 %,   78.74 m
10-Aug-2021,12:06:44.7,  24.54 °C, 1003.78 mbar,  86.59 %,   79.16 m
10-Aug-2021,12:06:45.2,  24.54 °C, 1003.84 mbar,  86.07 %,   78.61 m
