09-Aug-2021,19:24:39.1,   24.72 °C,  1003.99 mbar,   45.41 %
09-Aug-2021,19:24:39.6,   24.71 °C,  1003.98 mbar,   45.40 %
09-Aug-2021,19:24:40.1,   24.72 °C,  1004.03 mbar,   45.39 %
09-Aug-2021,19:24:40.7,   24.71 °C,  1004.02 mbar,   45.40 %
09-Aug-2021,19:24:41.2,   24.72 °C,  1004.01 mbar,   45.38 %
09-Aug-2021,19:24:41.7,   24.73 °C,  1004.03 mbar,   45.41 %
09-Aug-2021,19:24:42.2,   24.72 °C,  1004.04 mbar,   45.41 %
09-Aug-2021,19:24:42.8,   24.72 °C,  1004.00 mbar,   45.41 %
09-Aug-2021,19:24:43.3,   24.72 °C,  1003.98 mbar,   45.40 %
09-Aug-2021,19:24:43.8,   24.71 °C,  1003.97 mbar,   45.39 %
09-Aug-2021,19:24:44.4,   24.71 °C,  1004.01 mbar,   45.39 %
09-Aug-2021,19:24:44.9,   24.72 °C,  1004.00 mbar,   45.39 %
09-Aug-2021,19:24:45.4,   24.73 °C,  1004.02 mbar,   45.37 %
09-Aug-2021,19:24:45.9,   24.71 °C,  1003.99 mbar,   45.35 %
09-Aug-2021,19:24:46.5,   24.72 °C,  1003.97 mbar,   45.35 %
09-Aug-2021,19:24:47.0,   24.72 °C,  1004.00 mbar,   45.37 %
09-Aug-2021,19:24:47.5,   24.72 °C,  1003.98 mbar,   45.41 %
09-Aug-2021,19:24:48.0,   24.73 °C,  1003.96 mbar,   45.75 %
09-Aug-2021,19:24:48.6,   24.72 °C,  1003.94 mbar,   46.06 %
09-Aug-2021,19:24:49.1,   24.89 °C,  1004.02 mbar,   54.10 %
09-Aug-2021,19:24:49.6,   25.54 °C,  1004.05 mbar,   68.34 %
09-Aug-2021,19:24:50.2,   25.95 °C,  1004.10 mbar,   76.55 %
09-Aug-2021,19:24:50.7,   26.33 °C,  1004.09 mbar,   82.21 %
09-Aug-2021,19:24:51.2,   26.58 °C,  1004.07 mbar,   85.26 %
09-Aug-2021,19:24:51.8,   26.66 °C,  1004.09 mbar,   87.09 %
09-Aug-2021,19:24:52.3,   26.86 °C,  1004.09 mbar,   88.85 %
